id,nome,jogo_id,pais_id
1,AALERUD Katrine,2,2
2,ABAD Nestor,3,3
3,ABAGNALE Giovanni,4,4
4,ABALDE Alberto,5,3
5,ABALDE Tamara,5,3
6,ABALO Luc,6,5
7,ABAROA Cesar,4,6
8,ABASS Abobakr,7,7
9,ABBASALI Hamideh,8,8
10,ABBASOV Islam,9,9
11,ABBINGH Lois,6,10
12,ABBOT Emily,10,11
13,ABBOTT Monica,11,12
14,ABDALLA Abubaker Haydar,12,13
15,ABDALLA Maryam,13,14
16,ABDALLAH Shahd,13,14
17,ABDALRASOOL Mohamed,14,7
18,ABDEL LATIF Radwa,15,14
19,ABDEL RAZEK Samy,15,14
20,ABDELAZIZ Abdalla,8,14
21,ABDELAZIZ Farah,16,14
22,ABDELAZIZ Feryal,8,14
23,ABDELMAWGOUD Mohamed,14,14
24,ABDELMOTTALEB Diaaeldin Kamal Gouda,9,14
25,ABDELRAHMAN Ihab,12,14
26,ABDELSALAM Mohamed,17,14
27,ABDELSALAM Nour,18,14
28,ABDELWAHED Ahmed,12,4
29,ABDI Bashir,12,15
30,ABDIRAHMAN Abdi,12,12
31,ABDUL HADI Farah Ann,3,16
32,ABDUL RAHMAN Kiria Tikanah,19,17
33,ABDUL RAZZAQ Fathimath Nabaaha,20,18
34,ABDULHAMID Saud,17,19
35,ABDULJABBAR Ammar Riad,21,20
36,ABDULLAEV Gulomjon,9,21
37,ABDULLAEV Muminjon,9,21
38,ABDULLAH Rahmat Erwin,22,22
39,ABDULLIN Ilfat,23,23
40,ABDULREDHA Mohamed,6,24
41,ABDURAIMOV Elnur,21,21
42,ABDURAKHIMOV Rasuljon,3,21
43,ABDURAKHMONOV Bekzod,9,21
44,ABE Hifumi,14,25
45,ABE Takatoshi,12,25
46,ABE Uta,14,25
47,ABEBE Mekides,12,26
48,ABEDINI Mojtaba,19,8
49,ABEL Jennifer,24,27
50,ABELA Matthew,20,28
51,ABELVIK ROED Magnus,6,2
52,ABEYSINGHE Matthew,7,29
53,ABIAN Pablo,20,3
54,ABICHA Mohammed,25,30
55,ABICHT Lorena,26,31
56,ABIDINE Abidine,12,32
57,ABLIAZIN Denis,3,33
58,ABOUD Hadel,12,34
59,ABOUELKASSEM Alaaeldin,19,14
60,ABOUKE Nancy Genzel,22,35
61,ABRAHAM Tadesse,12,36
62,ABRAHAMS Rusten John,27,37
63,ABRAMS Aliyah,12,38
64,ABRAMS Jasmine,12,38
65,ABRAMYAN Benik,12,39
66,ABREU Diogo,28,40
67,ABRINES REDONDO Alejandro,5,3
68,ABROSIMOV Kirill,29,33
69,ABU RABEE Asma,15,41
70,ABU RMILAH Wesam,14,42
71,ABUAKU Joshua,12,20
72,ABUJBARA Tala,4,13
73,ACERENZA Domenico,7,4
74,ACETI Vladimir,12,4
75,ACHAB Jaouad,18,15
76,ACHANTA Kamal,16,43
77,ACHILLEOS Georgios,15,44
78,ACHIUWA Precious,5,45
79,ACHONWA Natalie,5,27
80,ACHOURI Haikel,9,46
81,ACKERMANN Simone,30,37
82,ACOSTA Briseida,18,47
83,ACOSTA FERNANDEZ Yasmani,9,6
84,ACOSTA GIRALDO Valentina,23,48
85,ACOSTA Marcelo,7,49
86,ACUNA Yenny,17,6
87,ADACHI Kazuya,31,25
88,ADACHI Seiya,32,25
89,ADAM Amal,23,14
90,ADAM Constantin,4,50
91,ADAMEK Klaudia,12,51
92,ADAMKIEWICZ Patrycja,18,51
93,ADAMS Liam,12,11
94,ADAMS Paul,15,11
