id,nome
2,Men
3,Women
4,Men's Team
5,Mixed Team
6,Women's Team
7,Duet
8,Team
9,Women's 4 x 400m Relay
10,4 x 400m Relay Mixed
11,Men's 4 x 400m Relay
12,Men's 4 x 100m Relay
13,Women's 4 x 100m Relay
14,Softball
15,Baseball
16,Men's Madison
17,Men's Team Pursuit
18,Men's Team Sprint
19,Women's Madison
20,Women's Team Pursuit
21,Women's Team Sprint
22,Men's Foil Team
23,Women's Foil Team
24,Men's Épée Team
25,Women's Épée Team
26,Women's Sabre Team
27,Men's Sabre Team
28,Group All-Around
29,Men's 4 x 100m Freestyle Relay
30,Men's 4 x 100m Medley Relay
31,Men's 4 x 200m Freestyle Relay
32,Mixed 4 x 100m Medley Relay
33,Women's 4 x 100m Freestyle Relay
34,Women's 4 x 100m Medley Relay
35,Women's 4 x 200m Freestyle Relay
36,Mixed Doubles
37,Mixed Relay
