id,nome
2,Cycling Road
3,Artistic Gymnastics
4,Rowing
5,Basketball
6,Handball
7,Swimming
8,Karate
9,Wrestling
10,Rhythmic Gymnastics
11,Baseball/Softball
12,Athletics
13,Artistic Swimming
14,Judo
15,Shooting
16,Table Tennis
17,Football
18,Taekwondo
19,Fencing
20,Badminton
21,Boxing
22,Weightlifting
23,Archery
24,Diving
25,Beach Volleyball
26,Sailing
27,Hockey
28,Trampoline Gymnastics
29,Marathon Swimming
30,Triathlon
31,Canoe Slalom
32,Water Polo
33,Surfing
34,Canoe Sprint
35,Cycling BMX Racing
36,Rugby Sevens
37,Volleyball
38,Equestrian
39,Tennis
40,Cycling Track
41,Golf
42,Skateboarding
43,Modern Pentathlon
44,Cycling Mountain Bike
45,3x3 Basketball
46,Cycling BMX Freestyle
47,Sport Climbing
