id,nome
2,Norway
3,Spain
4,Italy
5,France
6,Chile
7,Sudan
8,Islamic Republic of Iran
9,Azerbaijan
10,Netherlands
11,Australia
12,United States of America
13,Qatar
14,Egypt
15,Belgium
16,Malaysia
17,Singapore
18,Maldives
19,Saudi Arabia
20,Germany
21,Uzbekistan
22,Indonesia
23,Kazakhstan
24,Bahrain
25,Japan
26,Ethiopia
27,Canada
28,Malta
29,Sri Lanka
30,Morocco
31,Austria
32,Mauritania
33,ROC
34,Libya
35,Nauru
36,Switzerland
37,South Africa
38,Guyana
39,Georgia
40,Portugal
41,Jordan
42,Palestine
43,India
44,Cyprus
45,Nigeria
46,Tunisia
47,Mexico
48,Colombia
49,El Salvador
50,Romania
51,Poland
52,Federated States of Micronesia
53,Brazil
54,Turkey
55,Sweden
56,Great Britain
57,Hungary
58,Lithuania
59,Puerto Rico
60,Angola
61,Congo
62,Monaco
63,Rwanda
64,Kenya
65,Armenia
66,Samoa
67,Brunei Darussalam
68,Bangladesh
69,Benin
70,Côte d'Ivoire
71,Trinidad and Tobago
72,People's Republic of China
73,Senegal
74,Algeria
75,Tajikistan
76,Pakistan
77,Kyrgyzstan
78,Latvia
79,Oman
80,Kuwait
81,Iraq
82,Refugee Olympic Team
83,Yemen
84,Cuba
85,Argentina
86,Serbia
87,Ukraine
88,Niger
89,Djibouti
90,Somalia
91,Bulgaria
92,Bermuda
93,Ireland
94,Jamaica
95,Estonia
96,United Arab Emirates
97,Israel
98,Paraguay
99,Costa Rica
100,Dominican Republic
101,Honduras
102,Cape Verde
103,Greece
104,Venezuela
105,Uganda
106,Peru
107,Belarus
108,San Marino
109,Ghana
110,Ecuador
111,Botswana
112,Republic of Korea
113,New Zealand
114,Bahamas
115,Denmark
116,Philippines
117,Guam
118,Madagascar
119,Haiti
120,Czech Republic
121,Montenegro
122,Afghanistan
123,Uruguay
124,Panama
125,Finland
126,Cameroon
127,Syrian Arab Republic
128,Turkmenistan
129,"Hong Kong, China"
130,Togo
131,Seychelles
132,Mongolia
133,Slovenia
134,Guinea
135,Slovakia
136,Fiji
137,Zambia
138,Nicaragua
139,Sierra Leone
140,Guatemala
141,Papua New Guinea
142,Gambia
143,Lebanon
144,Cook Islands
145,Barbados
146,Luxembourg
147,Republic of Moldova
148,Nepal
149,Croatia
150,Kiribati
151,North Macedonia
152,Malawi
153,Democratic Republic of the Congo
154,Lao People's Democratic Republic
155,Thailand
156,St Vincent and the Grenadines
157,Albania
158,Guinea-Bissau
159,Bolivia
160,Bosnia and Herzegovina
161,Chinese Taipei
162,Saint Lucia
163,Palau
164,Mauritius
165,Saint Kitts and Nevis
166,Cayman Islands
167,American Samoa
168,Belize
169,Vanuatu
170,"Virgin Islands, US"
171,Sao Tome and Principe
172,Democratic Republic of Timor-Leste
173,Eritrea
174,Mali
175,Burkina Faso
176,Tonga
177,Namibia
178,Vietnam
179,Eswatini
180,Andorra
181,Aruba
182,Comoros
183,Equatorial Guinea
184,Liberia
185,Grenada
186,Solomon Islands
187,Marshall Islands
188,Burundi
189,United Republic of Tanzania
190,Gabon
191,Kosovo
192,Antigua and Barbuda
193,Mozambique
194,Iceland
195,South Sudan
196,Liechtenstein
197,Cambodia
198,Chad
199,Bhutan
200,Zimbabwe
201,Lesotho
202,Dominica
203,Tuvalu
204,"Virgin Islands, British"
205,Central African Republic
206,Myanmar
207,Suriname
