id,nome,jogo_id,pais_id,event_id
1,Belgium,45,15,2
2,China,45,72,2
3,China,45,72,3
4,France,45,5,3
5,Italy,45,4,3
6,Japan,45,25,2
7,Japan,45,25,3
8,Latvia,45,78,2
9,Mongolia,45,132,3
10,Netherlands,45,10,2
11,Poland,45,51,2
12,ROC,45,33,2
13,ROC,45,33,3
14,Romania,45,50,3
15,Serbia,45,86,2
16,United States,45,12,3
17,Australia,23,11,4
18,Australia,23,11,5
19,Bangladesh,23,68,5
20,Belarus,23,107,6
21,Brazil,23,53,5
22,Canada,23,27,5
23,China,23,72,4
24,China,23,72,5
25,China,23,72,6
26,Chinese Taipei,23,161,4
27,Chinese Taipei,23,161,5
28,Chinese Taipei,23,161,6
29,Colombia,23,48,5
30,Egypt,23,14,5
31,France,23,5,4
32,France,23,5,5
33,Germany,23,20,5
34,Germany,23,20,6
35,Great Britain,23,56,4
36,Great Britain,23,56,5
37,Great Britain,23,56,6
38,India,23,43,4
39,India,23,43,5
40,Indonesia,23,22,4
41,Indonesia,23,22,5
42,Italy,23,4,5
43,Italy,23,4,6
44,Japan,23,25,4
45,Japan,23,25,5
46,Japan,23,25,6
47,Kazakhstan,23,23,4
48,Malaysia,23,16,5
49,Mexico,23,47,5
50,Mexico,23,47,6
51,Mongolia,23,132,5
52,Netherlands,23,10,4
53,Netherlands,23,10,5
54,Poland,23,51,5
55,Rep. of Moldova,23,147,5
56,Republic of Korea,23,112,4
57,Republic of Korea,23,112,5
58,Republic of Korea,23,112,6
59,ROC,23,33,5
60,ROC,23,33,6
61,Spain,23,3,5
62,Tunisia,23,46,5
63,Turkey,23,54,5
64,Ukraine,23,87,5
65,Ukraine,23,87,6
66,United States,23,12,4
67,United States,23,12,5
68,United States,23,12,6
69,Vietnam,23,178,5
70,Belgium,3,15,6
71,Brazil,3,53,4
72,Canada,3,27,6
73,China,3,72,4
74,China,3,72,6
75,Chinese Taipei,3,161,4
76,France,3,5,6
77,Germany,3,20,4
78,Germany,3,20,6
79,Great Britain,3,56,4
80,Great Britain,3,56,6
81,Italy,3,4,6
82,Japan,3,25,4
83,Japan,3,25,6
84,Netherlands,3,10,6
85,Korea,3,112,4
86,ROC,3,33,4
87,ROC,3,33,6
88,Spain,3,3,4
89,Spain,3,3,6
90,Switzerland,3,36,4
91,Ukraine,3,87,4
92,United States,3,12,4
93,United States,3,12,6
94,Australia,13,11,7
95,Australia,13,11,8
96,Austria,13,31,7
97,Belarus,13,107,7
98,Canada,13,27,7
99,Canada,13,27,8
100,China,13,72,7
101,China,13,72,8
102,Colombia,13,48,7
103,Egypt,13,14,7
104,Egypt,13,14,8
105,France,13,5,7
106,Great Britain,13,56,7
107,Greece,13,103,7
108,Greece,13,103,8
109,Israel,13,97,7
110,Italy,13,4,7
111,Italy,13,4,8
112,Japan,13,25,7
113,Japan,13,25,8
114,Kazakhstan,13,23,7
115,Liechtenstein,13,196,7
116,Mexico,13,47,7
117,Netherlands,13,10,7
118,ROC,13,33,7
119,ROC,13,33,8
120,South Africa,13,37,7
121,Spain,13,3,7
122,Spain,13,3,8
123,Ukraine,13,87,7
124,Ukraine,13,87,8
125,United States,13,12,7
126,Australia,12,11,9
127,Bahamas,12,114,9
128,Belarus,12,107,9
129,Belgium,12,15,10
130,Belgium,12,15,11
131,Belgium,12,15,9
