id,nome,nome_anteriorjogo_id,pais_id,event_id
1,ABDELMAGID Wael,,17,14,0
2,MAKLELI Wael,ABDELMAGID Wael,17,14,0
3,ABE Junya,,37,25,0
4,ABE Katsuhiko,ABE Junya,5,25,0
5,ADAMA Cherif,ABDELMAGID Wael,17,70,0
6,AGEBA Yuya,ABE Junya,37,25,2
7,AIKMAN Siegfried Gottlieb,ABE Junya,27,25,2
8,AL SAADI Kais,AIKMAN Siegfried Gottlieb,27,20,14
9,ALAMEDA Lonni,AGEBA Yuya,11,27,2
10,ALEKNO Vladimir,ABE Junya,37,8,3
11,ALEKSEEV Alexey,,6,33,0
12,ALLER CARBALLO Manuel Angel,ABE Katsuhiko,5,3,2
13,ALSHEHRI Saad,ABDELMAGID Wael,17,19,0
14,ALY Kamal,ABDELMAGID Wael,17,14,0
15,AMAYA GAITAN Fabian,ABE Katsuhiko,5,59,0
16,AMO AGUADO Pablo,ABDELMAGID Wael,17,3,3
17,ANDONOVSKI Vlatko,ABDELMAGID Wael,17,12,3
18,ANNAN Alyson,AIKMAN Siegfried Gottlieb,27,10,3
19,ARNAU CREUS Xavier,ABE Junya,27,25,2
20,ARNOLD Graham,ABDELMAGID Wael,17,11,3
21,AXNER Tomas,AGEBA Yuya,6,55,2
22,BABER Gareth Colin,,36,136,0
23,BACIU Horatiu,ABDELMAGID Wael,17,50,0
24,BANBULA Wojciech,ABE Junya,37,51,0
25,BAO Zhuang,ABE Junya,37,72,0
26,BARYLA Pawel,ABE Junya,37,33,14
27,BASILIO Mel,ALAMEDA Lonni,11,27,7
28,BASSO Paola,AGEBA Yuya,13,56,2
29,BATCH Colin,AGEBA Yuya,27,11,2
30,BATISTA Fernando,ABDELMAGID Wael,17,85,3
31,BATISTA SANTIAGO Gerardo,ABE Katsuhiko,5,59,0
32,BENCIC Filip,ABE Katsuhiko,5,86,14
33,BERG Laura,AGEBA Yuya,11,12,2
34,BERGE Christian,ALEKNO Vladimir,6,2,3
35,BILLAVA SURESH Ankitha,AIKMAN Siegfried Gottlieb,27,43,3
36,BIRO Attila,BASILIO Mel,32,57,7
37,BLECHER SIDOROVA Svetlana,AGEBA Yuya,13,97,2
38,BLENGINI Gianlorenzo,ABE Junya,37,4,0
39,BOLTON Alice,ABE Katsuhiko,5,45,0
40,BREIVIK Marit,ALEKNO Vladimir,6,2,3
41,BRODERICK William,ALEKNO Vladimir,36,53,3
42,BRONDELLO Sandy,ABE Katsuhiko,5,11,3
43,BROWN Chris,AGEBA Yuya,36,12,2
44,BROWN Michael,ABE Katsuhiko,5,45,0
45,BRUN Aristide,ALEKNO Vladimir,13,31,3
46,BUNTING Allan,BABER Gareth Colin,36,113,0
47,BURLANDO Giovanna,ALEKNO Vladimir,13,4,3
48,BUSATO Sergio,ABE Junya,37,33,0
49,BUSENKELL Axel,ABDELMAGID Wael,17,20,3
50,BYRNE Mick,AGEBA Yuya,36,27,2
51,CADENAS MONTANES Manuel,AGEBA Yuya,6,85,2
52,CALDAS Max,AGEBA Yuya,27,10,2
53,CAMPAGNA Alessandro,AL SAADI Kais,32,4,14
54,CARO Carlos,AL SAADI Kais,11,47,14
55,CASAREZ Mary Lucy,ABE Junya,11,25,0
56,CASTRO Alex,ABDELMAGID Wael,17,6,0
57,CHAMBERS Cheryl,ABE Katsuhiko,5,11,7
58,CHEPAK Anastasiya,ABDELMAGID Wael,13,14,8
59,CHEPAK Anastasiya,ABDELMAGID Wael,13,14,7
60,CHERNETSKA Natalia,BASSO Paola,13,103,8
61,CHERNETSKA Natalia,BASSO Paola,13,103,0
62,CHIARI Simona,BASSO Paola,13,108,15
63,CHOI Il Eon,ALAMEDA Lonni,11,112,3
64,CHUN Jooweon,ABE Katsuhiko,5,112,2
65,CLARK STEPHEN Gregg,AGEBA Yuya,27,43,2
66,COLLET Vincent,ABE Katsuhiko,5,5,0
67,COMMENS Adam,AIKMAN Siegfried Gottlieb,27,15,3
68,COURTEIX David,BABER Gareth Colin,36,5,0
69,CRESPI JAUME Margalida,ALEKNO Vladimir,13,48,3
70,CRUZ Filipe,AGEBA Yuya,6,60,2
71,DAL ZOTTO Renan,ABE Junya,37,53,3
72,DANCER Sean,AIKMAN Siegfried Gottlieb,27,93,7
73,DANCHENKO Tatiana,ALEKNO Vladimir,13,33,3
74,DAVY Jeremy,AIKMAN Siegfried Gottlieb,27,11,0
75,DAZA Fabian,ABDELMAGID Wael,17,6,2
76,de la FUENTE CASTILLO Luis,ABDELMAGID Wael,17,3,3
77,de MOURA Luizomar,ABE Junya,37,64,2
78,de OLIVEIRA Marcus Ricardo,ALEKSEEV Alexey,6,53,0
79,de VOS Robbert-Jan,AIKMAN Siegfried Gottlieb,27,10,0
80,DELANEY Mike,AIKMAN Siegfried Gottlieb,27,113,7
81,DEMCHENKO Zhanna,BASSO Paola,13,23,0
82,DIAZ FERNANDEZ Jenaro Manuel,ABE Katsuhiko,5,3,0
83,DIAZ HENRIQUEZ Nestor,ABE Katsuhiko,5,100,0
84,DIDENKO Natalia,AL SAADI Kais,13,3,14
85,DOBSON Howard,ALAMEDA Lonni,11,12,0
86,DORE Karine,ALAMEDA Lonni,13,27,0
87,DROBNJAK Dragisa,ABE Katsuhiko,5,133,3
88,DUENAS de GALARZA Jorge,ALEKSEEV Alexey,6,53,0
89,DURO Fernando,ABE Katsuhiko,5,104,0
90,DYKSTRA Trisha,ABE Katsuhiko,5,11,0
91,ECHEZURIA Manuel,ABE Katsuhiko,5,104,2
92,EDDY Anthony,BABER Gareth Colin,36,93,0
93,EITOKU Atsushi,ABE Junya,13,25,7
94,ELAFANDI Nour,ABDELMAGID Wael,13,14,8
95,ELAFANDI Nour,ABDELMAGID Wael,13,14,3
96,ELEK Gabor,ALEKSEEV Alexey,6,57,0
97,ENGELLAND Chip,ABE Katsuhiko,5,12,0
98,ENQUIST Susan,ABE Junya,37,12,14
99,ERIKSEN Ken,AGEBA Yuya,11,12,2
100,EWING Gareth,AIKMAN Siegfried Gottlieb,27,37,7
101,FABRE Julie,BASSO Paola,13,5,0
102,FAHMY LATIF Yasmine,ABDELMAGID Wael,13,14,2
103,FALERO Miguel,ABDELMAGID Wael,17,101,7
104,FARINELLI Roberta,BASSO Paola,13,4,8
105,FARINELLI Roberta,AGEBA Yuya,13,4,2
106,FATOVIC Elvis,ARNOLD Graham,32,11,0
107,FAVAREL Pablo,ABE Katsuhiko,5,104,0
108,FEDIUSHYNA Tetiana,ALEKNO Vladimir,13,87,3
109,FERRARO Hernan,ABE Junya,37,85,15
110,FISH Nathan,AL SAADI Kais,11,97,14
111,FLOWERS Tairia,ALAMEDA Lonni,11,12,0
112,FOIREST Laurent,ABE Katsuhiko,5,5,3
113,FORREST Scott,AGEBA Yuya,36,56,2
114,FRIDAY Mike,ANDONOVSKI Vlatko,36,12,7
